序号,学科,代码
1,ACOUSTICS 声学,AA
2,AGRICULTURAL ECONOMICS & POLICY 农业经济与政策,AF
3,AGRICULTURAL ENGINEERING 农业工程,AE
4,"AGRICULTURE, DAIRY & ANIMAL SCIENCE 奶制品与动物科学",AD
5,"AGRICULTURE, MULTIDISCIPLINARY 农业综合",AH
6,AGRONOMY 农艺学,AM
7,ALLERGY 过敏,AQ
8,ANATOMY & MORPHOLOGY 解剖学与形态学,AY
9,ANDROLOGY 男科学,AZ
10,ANESTHESIOLOGY 麻醉学,BA
11,ANTHROPOLOGY 人类学,BF
12,ARCHAEOLOGY 考古学,BI
13,ARCHITECTURE 建筑学,BK
14,AREA STUDIES 地域研究,BM
15,ART 艺术,BP
16,ASIAN STUDIES 亚洲研究,OR
17,ASTRONOMY & ASTROPHYSICS 天文与天体物理,BU
18,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY 听力学与言语病理学,CL
19,AUTOMATION & CONTROL SYSTEMS 自动化与控制系统,AC
20,BEHAVIORAL SCIENCES 行为科学,CN
21,BIOCHEMICAL RESEARCH METHODS 生化研究方法,CO
22,BIOCHEMISTRY & MOLECULAR BIOLOGY 生化与分子生物学,CQ
23,BIODIVERSITY CONSERVATION 生物多样性保护,BD
24,BIOLOGY 生物学,CU
25,BIOPHYSICS 生物物理,DA
26,BIOTECHNOLOGY & APPLIED MICROBIOLOGY 生物工程与应用微生物,DB
27,BUSINESS 商业：管理,DI
28,"BUSINESS, FINANCE 商业：财政与金融",DK
29,CARDIAC & CARDIOVASCULAR SYSTEMS 心脏和心血管系统,DQ
30,CELL & TISSUE ENGINEERING 细胞与组织工程,CT
31,CELL BIOLOGY 细胞生物学,DR
32,"CHEMISTRY, ANALYTICAL 分析化学",EA
33,"CHEMISTRY, APPLIED 应用化学",DW
34,"CHEMISTRY, INORGANIC & NUCLEAR 无机化学与核化学",EC
35,"CHEMISTRY, MEDICINAL 药物化学",DX
36,"CHEMISTRY, MULTIDISCIPLINARY 化学：综合",DY
37,"CHEMISTRY, ORGANIC 有机化学",EE
38,"CHEMISTRY, PHYSICAL 物理化学",EI
39,CLASSICS 古典文学,EO
40,CLINICAL NEUROLOGY 临床神经病学,RT
41,COMMUNICATION 传播学,EU
42,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE 计算机：人工智能",EP
43,"COMPUTER SCIENCE, CYBERNETICS 计算机：控制论",ER
44,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE 计算机：硬件",ES
